Date,Minimum Air Temperature,Maximum Air Temperature,Relative Humidity (%),Rainfall (mm),Weekday,Weekend,Holiday,Day after holiday,No. of A&E first attendances,total adult patient,Total children patient
1/12/2019,17.8,28.05,64,0,0,1,1,0,713,3255,256
2/12/2019,14.25,20.4,45,0,1,0,0,1,797,3269,279
3/12/2019,12.75,20.15,34,0,1,0,0,0,752,3136,286
4/12/2019,13.3,21.45,27,0,1,0,0,0,766,3118,265
5/12/2019,12.2,17.9,43,1.2,1,0,0,0,782,3104,264
6/12/2019,12.35,20.2,25,0.4,1,0,0,0,735,3083,251
7/12/2019,12.65,20.25,26,0,0,1,0,0,711,3129,270
8/12/2019,12.3,20.65,37,0,0,1,1,0,702,3234,266
9/12/2019,13.4,22.6,53,0,1,0,0,1,822,3231,282
10/12/2019,14.15,23.75,64,0,1,0,0,0,780,3238,274
11/12/2019,14.6,25.65,57,0,1,0,0,0,805,3276,274
12/12/2019,16.85,23.05,60,0,1,0,0,0,778,3286,272
13/12/2019,17.05,23.75,71,0,1,0,0,0,824,3248,246
14/12/2019,16.4,25.2,71,0,0,1,0,0,779,3357,254
15/12/2019,17.7,20.7,78,0,0,1,1,0,781,3357,282
16/12/2019,19.55,26.5,72,0,1,0,0,1,916,3371,315
17/12/2019,20.9,28.15,68,0,1,0,0,0,835,3363,309
18/12/2019,19.2,29.3,75,0,1,0,0,0,769,3384,281
19/12/2019,17.8,21.65,83,0,1,0,0,0,748,3318,296
20/12/2019,16.55,23.4,74,0.6,1,0,0,0,744,3157,275
21/12/2019,16.15,24.5,81,1.1,0,1,0,0,716,3245,302
22/12/2019,18.65,24.45,83,0,0,1,1,0,689,3294,348
23/12/2019,17.75,22.1,83,0,1,0,0,1,827,3269,303
24/12/2019,17.95,24.8,77,0,1,0,0,0,796,3167,250
25/12/2019,18.15,24.05,78,0,1,0,1,0,746,3227,260
26/12/2019,16.65,27.55,67,0,1,0,1,0,681,3262,290
27/12/2019,14.25,22.3,59,0,1,0,0,1,806,3304,250
28/12/2019,15.5,22.45,67,0,0,1,0,0,726,3217,248
29/12/2019,17.15,19.4,87,8.6,0,1,1,0,710,3287,231
30/12/2019,18.55,22.7,89,0.4,1,0,0,1,833,3294,246
31/12/2019,17.25,19.9,86,0.2,1,0,0,0,780,3238,260
1/1/2020,16,18.9,78,0.1,1,0,1,0,668,3350,274
2/1/2020,15.75,21.5,76,0,1,0,0,1,800,3388,240
3/1/2020,15.65,24.35,79,0,1,0,0,0,801,3234,265
4/1/2020,15.45,24.15,81,0,0,1,0,0,771,3258,260
5/1/2020,18.25,23.8,75,0,0,1,1,0,764,3314,278
6/1/2020,19.55,26.25,74,0,1,0,0,1,827,3332,274
7/1/2020,19.45,26.9,81,0,1,0,0,0,805,3339,273
8/1/2020,18.6,27.25,65,0,1,0,0,0,768,3297,267
9/1/2020,17.7,21.5,73,0,1,0,0,0,764,3241,278
10/1/2020,17.65,23.45,79,0,1,0,0,0,812,3206,276
11/1/2020,17.5,26.4,78,0,0,1,0,0,793,3182,303
12/1/2020,14.45,22.25,57,0,0,1,1,0,701,3238,307
13/1/2020,16.55,20.75,72,0,1,0,0,1,827,3252,293
14/1/2020,16.75,23.4,71,0,1,0,0,0,771,3202,281
15/1/2020,17.15,23,77,0.1,1,0,0,0,764,3076,263
16/1/2020,17.65,24.45,82,0,1,0,0,0,752,3097,244
17/1/2020,15.8,19.5,61,0,1,0,0,0,737,2928,264
18/1/2020,15.8,22.35,68,0,0,1,0,0,766,3016,263
19/1/2020,15.4,20.85,71,0,0,1,1,0,711,3143,299
20/1/2020,14.55,22,71,0,1,0,0,1,774,3101,281
21/1/2020,15.8,22,76,0,1,0,0,0,747,3093,257
22/1/2020,17.7,25.1,79,0,1,0,0,0,736,3087,255
23/1/2020,19.55,27.25,84,0,1,0,0,0,719,2900,202
24/1/2020,18.85,25.85,88,0,1,0,0,0,612,2557,162
25/1/2020,18.1,24.1,87,3,0,1,1,0,556,2504,185
26/1/2020,12.65,19.8,82,13.3,0,1,1,0,607,2518,189
27/1/2020,10.1,16.2,62,0.3,1,0,1,0,655,2571,173
28/1/2020,9.5,16.25,57,0.3,1,0,1,0,585,2627,172
29/1/2020,10.1,16.85,43,0,1,0,0,1,656,2666,158
30/1/2020,11,19.35,28,0,1,0,0,0,602,2606,179
31/1/2020,11.35,19.4,38,0,1,0,0,0,571,2469,154
1/2/2020,13.1,18.85,65,0,0,1,0,0,578,2480,128
2/2/2020,15.2,19.4,74,0,0,1,1,0,518,2599,140
3/2/2020,15.15,21.35,73,0,1,0,0,1,575,2546,130
4/2/2020,14.75,18.8,80,1,1,0,0,0,497,2522,140
5/2/2020,16.65,18.35,81,1.2,1,0,0,0,487,2434,131
